pair_id,dataset_id_1,column_name_1,sample_values_1,dataset_id_2,column_name_2,sample_values_2,jaccard_score,lazo_score,embedding_score,vote_count,confidence,y/n
0,i4gi-tjb9,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",kb2e-tjy3,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
1,ci36-d7ea,survey_pp_se,"0.51, 0.64, 0.65, 0.66, 0.69",kkng-ugna,survey_pp_ct,"0.64, 0.66, 0.78, 0.8, 0.86",1,0.76,0.8543,3,high,n
2,phvi-damg,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN ISLAND",rc2t-8fid,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
3,922w-z7da,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",avhb-5jhc,borough,BROOKLYN,1,1,1,3,high,y
4,5ery-qagt,city,"Bronx, Brooklyn, New York, Ridgewood, Whitestone",n3p6-zve2,city,"Bronx, Brooklyn, Cambria Heights, Elmhurst, Far Rockaway",1,0.6429,1,3,high,y
5,3spy-rjpw,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN IS",at6q-ktig,borough,Queens,1,1,1,3,high,y
6,jdn9-td9w,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",vd7c-qjsx,borough,"Bronx, Brooklyn",1,0.8,1,3,high,y
7,tzwr-vksx,borough,"BRONX, BROOKLYN, MANHATTAN",ur7y-ziyb,borough,"Bronx, Brooklyn, Manhattan, No Verifiable Associated NYC Address, Queens",1,1,1,3,high,y
8,6rrm-vxj9,borough,"Brooklyn, Manhattan, the Bronx",bkui-39n8,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,0.8,1,3,high,y
9,922w-z7da,city,"BRONX, BROOKLYN, JAMAICA, KEW GARDENS, NEW YORK",kswi-37bp,city,"Arlington, Bronx, Brooklyn, New York",1,0.625,1,3,high,y
10,dsg6-ifza,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN ISLAND",vq35-j9qm,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
11,v57i-gtxb,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",vz8c-29aj,borough,"Bronx, Brooklyn, Brooklyn (Note: General Education Only), Brooklyn (Note: Special Education Only), Manhattan",1,1,1,3,high,y
12,pkdm-hqz6,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",tg4x-b46p,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
13,9hyh-zkx9,borough,"Bronx, Brooklyn, Manhattan, Queens",a6nj-cfbz,borough,"Brooklyn, Manhattan",1,1,1,3,high,y
14,a5rk-jemi,last_travel_date,"2019-06-07T00:00:00.000, 2019-06-13T00:00:00.000, 2019-06-14T00:00:00.000, 2019-06-27T00:00:00.000, 2019-06-28T00:00:00.000",x5ra-hhdw,travel_date,"2019-06-01T00:00:00.000, 2019-06-02T00:00:00.000, 2019-06-03T00:00:00.000, 2019-06-04T00:00:00.000, 2019-06-05T00:00:00.000",0.6667,0.9,0.8743,3,high,n
15,qt6m-xctn,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",rxpf-yca2,borough,"Bronx, Manhattan",1,1,1,3,high,y
16,v57i-gtxb,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",x4x8-m3ds,borough,"Average, Bronx, Brooklyn, Manhattan, Queens",1,1,1,3,high,y
17,fuzb-9jre,borough,"K, M, X, Y",mk9u-qu7i,borough,"B, M, Q, R, X",1,0.6,1,3,high,y
18,nfid-uabd,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",yunp-vs8g,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,1,1,3,high,y
19,evjd-dqpz,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",exsg-kpya,borough,"BRONX, BROOKLYN, QUEENS, STATEN IS",1,0.8,1,3,high,y
20,cfuy-6eha,borough,Bronx,v57i-gtxb,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
21,77q4-nkfh,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN IS",v57i-gtxb,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,0.8,1,3,high,y
22,h922-d8e5,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",pkdm-hqz6,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,1,1,3,high,y
23,ji82-xba5,city,"BRONX, BROOKLYN, NEW YORK, SPRINGFIELD GARDENS, STATEN ISLAND",n55z-cx8y,city,"BROOKLYN, NEW YORK",1,0.5714,1,3,high,y
24,6rf2-gv9k,borough,"Bronx, Brooklyn, Citywide, Manhattan, Queens",uh2w-zjsn,borough,"Bronx, Brooklyn, Manhattan, Queens",1,1,1,3,high,y
25,gfej-by6h,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",h9gi-nx95,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,1,1,3,high,y
26,h2bn-gu9k,borough,"Brooklyn, Manhattan, Queens",kfrx-hgf8,borough,"BROOKLYN, MANHATTAN",1,1,1,3,high,y
27,4pta-f4ca,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",6rf2-gv9k,borough,"Bronx, Brooklyn, Citywide, Manhattan, Queens",1,1,1,3,high,y
28,if26-z6xq,borough,"Bronx, Brooklyn, Manhattan, Staten Island",v57i-gtxb,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
29,4kpn-sezh,borough,"Bronx, Brooklyn, Manhattan, Queens",bs8b-p36w,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
30,ybdk-jmnn,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",yv4m-nu6d,borough,"BRONX, BROOKLYN, MANHATTAN",1,0.8,1,3,high,y
31,3w89-mz4u,borough,Bronx,phvi-damg,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN ISLAND",1,1,1,3,high,y
32,bug8-9f3g,city,"Brooklyn, College Point, Lond Island City, Long Island City, New York",dm9a-ab7w,city,"ASTORIA, BRONX, BROOKLYN, CORONA, FLUSHING",1,0.6,1,3,high,y
33,6rrm-vxj9,borough,"Brooklyn, Manhattan, the Bronx",pnpe-ubtz,borough,"Bronx, Brooklyn, Manhattan",1,0.8,1,3,high,y
34,gkgs-za6m,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",jdn9-td9w,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,1,1,3,high,y
35,ebkm-iyma,city,"BX, Bronx, Brooklyn, Jamaica, New York",p5md-weyf,city,"Bayside, Bellerose, Bronx, Brooklyn, Flushing",1,0.7143,1,3,high,y
36,6rrm-vxj9,borough,"Brooklyn, Manhattan, the Bronx",ynaw-bmnm,borough,"Bronx, Manhattan, Manhattan/Bronx, Queens",1,0.8,1,3,high,y
37,shpd-5q9m,city,"Brooklyn, Manhattan, New York",uq7m-95z8,city,"Bronx, Brooklyn, Far Rockaway, Long Island City, Manhattan",1,0.5,1,3,high,y
38,fuzb-9jre,borough,"K, M, X, Y",hxx3-bwgv,borough,"B, M, Q, R, X",1,0.6,1,3,high,y
39,hgx4-8ukb,borough,"Brooklyn, Citywide, Manhattan, Staten Island",ybdk-jmnn,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,0.8,1,3,high,y
40,pkdm-hqz6,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",xx2p-4jnq,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN IS",1,0.8,1,3,high,y
41,fc53-9hrv,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",rc2t-8fid,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
42,i4gi-tjb9,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",qt6m-xctn,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
43,9s68-zggy,borough,"BRONX, MANHATTAN, QUEENS",k5us-nav4,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,0.8,1,3,high,y
44,tkzt-zfpz,borough,"B, M, Q, R, X",uwmn-v7un,borough,"B, Q, R, X",1,1,1,3,high,y
