dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
8wbx-tsch,,xjfq-wh2d,,0.8291,embedding
8wbx-tsch,,jb3k-j3gp,,0.8357,embedding
8wbx-tsch,,5tub-eh45,,0.7892,embedding
8wbx-tsch,,rhe8-mgbb,,0.8116,embedding
8wbx-tsch,,wvxf-dwi5,,0.7697,embedding
8wbx-tsch,,w7w3-xahh,,0.7693,embedding
8wbx-tsch,,yhuu-4pt3,,0.9824,embedding
8wbx-tsch,,jgtb-hmpg,,0.8613,embedding
8wbx-tsch,,867j-5pgi,,0.7641,embedding
8wbx-tsch,,cspg-yi7g,,0.768,embedding
8wbx-tsch,,a8wp-rerh,,0.768,embedding
8wbx-tsch,,krx7-u82t,,0.7701,embedding
8wbx-tsch,,87fx-28ei,,0.7619,embedding
8wbx-tsch,,td5q-ry6d,,0.8247,embedding
8wbx-tsch,,dg7a-jiz2,,0.8948,embedding
8wbx-tsch,,pvkv-25ck,,0.8116,embedding
8wbx-tsch,,ndq3-kuef,,0.7635,embedding
8wbx-tsch,,6ctv-n46c,,0.7866,embedding
8wbx-tsch,,56e3-rp8d,,0.7634,embedding
8wbx-tsch,,n55z-cx8y,,0.7551,embedding
8wbx-tsch,,6pwv-zmgh,,0.7607,embedding
8wbx-tsch,,k7b3-4y4m,,0.8247,embedding
8wbx-tsch,,c4dx-tk4d,,0.8247,embedding
8wbx-tsch,,kpv8-upnp,,0.8247,embedding
8wbx-tsch,,xjtr-h2x2,,0.8247,embedding
8wbx-tsch,,pxzj-y6s8,,0.8247,embedding
vx8i-nprf,,a9md-ynri,,0.835,embedding
vx8i-nprf,,qu8g-sxqf,,0.9957,embedding
vx8i-nprf,,6ctv-n46c,,0.7548,embedding
ic3t-wcy2,,erm2-nwe9,,0.8024,embedding
ic3t-wcy2,,ipu4-2q9a,,0.8537,embedding
ic3t-wcy2,,43nn-pn8j,,0.8383,embedding
ic3t-wcy2,,rbx6-tga4,,0.8606,embedding
ic3t-wcy2,,6z8x-wfk4,,0.7838,embedding
ic3t-wcy2,,wvxf-dwi5,,0.8148,embedding
ic3t-wcy2,,eabe-havv,,0.7998,embedding
ic3t-wcy2,,kpav-sd4t,,0.7708,embedding
ic3t-wcy2,,w9ak-ipjd,,0.9057,embedding
ic3t-wcy2,,w7w3-xahh,,0.8534,embedding
ic3t-wcy2,,9rz4-mjek,,0.7796,embedding
ic3t-wcy2,,uvpi-gqnh,,0.8104,embedding
ic3t-wcy2,,8586-3zfm,,0.7971,embedding
ic3t-wcy2,,eccv-9dzr,,0.8092,embedding
ic3t-wcy2,,hc8x-tcnd,,0.7868,embedding
ic3t-wcy2,,pe54-wf39,,0.7907,embedding
ic3t-wcy2,,64uk-42ks,,0.812,embedding
ic3t-wcy2,,867j-5pgi,,0.805,embedding
ic3t-wcy2,,enfh-gkve,,0.861,embedding
ic3t-wcy2,,bs8b-p36w,,0.8417,embedding
ic3t-wcy2,,8y4t-faws,,0.7758,embedding
ic3t-wcy2,,p937-wjvj,,0.8396,embedding
ic3t-wcy2,,wz6d-d3jb,,0.801,embedding
ic3t-wcy2,,ci93-uc8s,,0.7864,embedding
ic3t-wcy2,,tesw-yqqr,,0.7986,embedding
ic3t-wcy2,,yjxr-fw8i,,0.8091,embedding
ic3t-wcy2,,4e2n-s75z,,0.8449,embedding
ic3t-wcy2,,evjd-dqpz,,0.7688,embedding
ic3t-wcy2,,4d7f-74pe,,0.8465,embedding
ic3t-wcy2,,yjub-udmw,,0.8138,embedding
ic3t-wcy2,,693u-uax6,,0.7934,embedding
ic3t-wcy2,,cspg-yi7g,,0.804,embedding
ic3t-wcy2,,a8wp-rerh,,0.804,embedding
ic3t-wcy2,,ptev-4hud,,0.8514,embedding
ic3t-wcy2,,9a87-6m4x,,0.7841,embedding
ic3t-wcy2,,bty7-2jhb,,0.8694,embedding
ic3t-wcy2,,xubg-57si,,0.7551,embedding
ic3t-wcy2,,5zhs-2jue,,0.7612,embedding
ic3t-wcy2,,f4rp-2kvy,,0.8145,embedding
ic3t-wcy2,,t8hj-ruu2,,0.8085,embedding
ic3t-wcy2,,59kj-x8nc,,0.8265,embedding
ic3t-wcy2,,kj4p-ruqc,,0.8071,embedding
ic3t-wcy2,,mifw-tguq,,0.8011,embedding
ic3t-wcy2,,pitm-atqc,,0.7685,embedding
ic3t-wcy2,,krx7-u82t,,0.8047,embedding
ic3t-wcy2,,ntcm-2w4k,,0.787,embedding
ic3t-wcy2,,cete-9g3v,,0.8188,embedding
ic3t-wcy2,,dm9a-ab7w,,0.7727,embedding
ic3t-wcy2,,87fx-28ei,,0.8064,embedding
ic3t-wcy2,,wxhr-qbhz,,0.8177,embedding
ic3t-wcy2,,9jgj-bmct,,0.7651,embedding
ic3t-wcy2,,s4kf-3yrf,,0.7968,embedding
ic3t-wcy2,,vq35-j9qm,,0.8241,embedding
ic3t-wcy2,,tb8q-a3ar,,0.7921,embedding
ic3t-wcy2,,kh3d-xhq7,,0.8093,embedding
ic3t-wcy2,,ajxm-kzmj,,0.8165,embedding
ic3t-wcy2,,i7jb-7jku,,0.8009,embedding
ic3t-wcy2,,n3p6-zve2,,0.7831,embedding
ic3t-wcy2,,bmxf-3rd4,,0.7962,embedding
